Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
91,1661265472286514469,1661265472235777699,4014.01,"[-0.49079373478889465, 0.07548356801271439, 0.8679124116897583, 0.012316713109612465]","[169.55572509765625, 58.219566345214844, 164.23214721679688]"
92,1661265472294806295,1661265472235777699,4014.02,"[-0.489559531211853, 0.07743887603282928, 0.8683643341064453, 0.016674784943461418]","[168.60955810546875, 57.95692443847656, 163.4852752685547]"
93,1661265472302756284,1661265472235777699,4014.03,"[-0.48838794231414795, 0.07959110289812088, 0.8687344193458557, 0.02104857750236988]","[167.64923095703125, 57.69425582885742, 162.70912170410156]"
94,1661265472314109980,1661265472235777699,4014.04,"[-0.48718956112861633, 0.08202435076236725, 0.8690629601478577, 0.025457458570599556]","[166.66856384277344, 57.41787338256836, 161.8919219970703]"
95,1661265472322778805,1661265472235777699,4014.05,"[-0.48580852150917053, 0.08477317541837692, 0.8694291114807129, 0.02994452975690365]","[165.66798400878906, 57.10581588745117, 161.0345001220703]"
96,1661265472336546898,1661265472235777699,4014.06,"[-0.48418280482292175, 0.08785846084356308, 0.8698670864105225, 0.034339990466833115]","[164.68336486816406, 56.75303268432617, 160.15652465820312]"
97,1661265472342795303,1661265472338667932,4014.07,"[-0.4822935461997986, 0.09126283973455429, 0.8703805208206177, 0.038755450397729874]","[163.7008819580078, 56.35472869873047, 159.2549591064453]"
98,1661265472358605705,1661265472338667932,4014.08,"[-0.48009052872657776, 0.0949285477399826, 0.8709911108016968, 0.04331592470407486]","[162.71121215820312, 55.90254592895508, 158.33584594726562]"
99,1661265472364089684,1661265472338667932,4014.09,"[-0.47763100266456604, 0.0987955629825592, 0.8716596364974976, 0.04814092442393303]","[161.69906616210938, 55.401485443115234, 157.39913940429688]"
100,1661265472375282721,1661265472338667932,4014.1,"[-0.4749050438404083, 0.10279387980699539, 0.8723848462104797, 0.05332277715206146]","[160.65965270996094, 54.84898376464844, 156.453857421875]"
101,1661265472386538997,1661265472338667932,4014.11,"[-0.4718610942363739, 0.10692078620195389, 0.8731917142868042, 0.058746661990880966]","[159.62059020996094, 54.24156951904297, 155.51817321777344]"
102,1661265472395301582,1661265472338667932,4014.12,"[-0.4685678482055664, 0.11117856204509735, 0.8740310668945312, 0.06444705277681351]","[158.57369995117188, 53.58662414550781, 154.58676147460938]"
103,1661265472404059408,1661265472338667932,4014.13,"[-0.46503862738609314, 0.11560755968093872, 0.8748783469200134, 0.0704403892159462]","[157.5148162841797, 52.88420486450195, 153.6535186767578]"
104,1661265472412792535,1661265472338667932,4014.14,"[-0.4612434208393097, 0.12026509642601013, 0.8757330179214478, 0.07669860124588013]","[156.44949340820312, 52.129817962646484, 152.7167510986328]"
105,1661265472428608576,1661265472338667932,4014.15,"[-0.4571838974952698, 0.12520550191402435, 0.876576840877533, 0.08318434655666351]","[155.38247680664062, 51.32316970825195, 151.7733612060547]"
106,1661265472432735351,1661265472338667932,4014.1600000000003,"[-0.45289087295532227, 0.13045620918273926, 0.8773935437202454, 0.08973188698291779]","[154.3378448486328, 50.47209167480469, 150.83090209960938]"
107,1661265472449168933,1661265472338667932,4014.17,"[-0.44839707016944885, 0.13597169518470764, 0.8781701922416687, 0.09627555310726166]","[153.32742309570312, 49.58390426635742, 149.8994140625]"
108,1661265472453245961,1661265472451193748,4014.1800000000003,"[-0.4437582194805145, 0.14166587591171265, 0.8788896203041077, 0.1027735024690628]","[152.35874938964844, 48.66926193237305, 148.99017333984375]"
109,1661265472466515938,1661265472451193748,4014.19,"[-0.4389471411705017, 0.14741718769073486, 0.8795835971832275, 0.10920744389295578]","[151.44357299804688, 47.72998809814453, 148.12374877929688]"
